SPECIES,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,SITE,ELV,ASPECT,DEPTH,SLOPE
NNGRS,1,0,0,0,1,3,5,0,2,0,0,0,529,753,66,108.25,22
PHYMAL,0,0,0,0,0,0,0,5,6,3,5,2,529,753,66,108.25,22
POTARG,0,0,0,0,0,0,1,0,0,0,0,0,529,753,66,108.25,22
POTGRA,2,0,0,0,0,0,0,0,0,0,0,0,529,753,66,108.25,22
PSEMEN,0,0,0,0,0,6,6,3,0,0,0,0,529,753,66,108.25,22
ROSNUT,0,2,0,1,0,0,0,0,0,0,0,0,529,753,66,108.25,22
SENINT,1,2,0,0,0,0,0,0,0,0,0,0,529,753,66,108.25,22
SHRB,3,4,1,3,0,6,6,6,6,5,5,4,529,753,66,108.25,22
SYMALB,3,3,1,3,0,2,0,0,0,4,0,3,529,753,66,108.25,22
UNK,0,1,0,0,0,0,0,1,1,0,0,0,529,753,66,108.25,22
VALLOC,2,1,1,1,5,4,2,2,3,0,1,1,529,753,66,108.25,22
VENDUB,0,0,0,0,0,2,0,0,0,0,0,0,529,753,66,108.25,22
VICAME,1,0,3,0,0,3,1,0,0,0,1,0,529,753,66,108.25,22
BROINE,6,6,4,5,6,6,5,2,6,6,6,6,543,793,268,8,5
GALAPA,0,0,0,0,0,0,0,0,1,0,0,0,543,793,268,8,5
GALTRI,0,0,0,1,0,0,1,0,0,0,0,1,543,793,268,8,5
LT,6,6,6,6,6,6,6,6,6,6,6,6,543,793,268,8,5
NF,0,0,0,1,0,3,1,2,1,2,0,1,543,793,268,8,5
NNF,0,0,0,1,0,1,1,0,0,0,0,0,543,793,268,8,5
NNGRS,6,6,6,5,6,6,6,6,6,6,6,6,543,793,268,8,5
PHLPRA,0,2,4,2,2,0,3,6,0,0,0,0,543,793,268,8,5
SHRB,0,0,0,3,3,1,4,0,0,0,0,0,543,793,268,8,5
SYMALB,0,0,0,3,3,1,4,0,0,0,0,0,543,793,268,8,5
VALLOC,0,0,0,1,0,1,1,0,0,0,0,0,543,793,268,8,5
VICAME,0,0,0,0,0,3,0,2,0,2,0,0,543,793,268,8,5
ACHMIL,1,0,1,1,0,0,2,0,0,0,0,0,566,1056,313,33.5,15
AGOGRA,0,0,0,1,1,0,1,0,0,0,1,0,566,1056,313,33.5,15
BALSAG,0,0,0,0,0,0,0,5,2,5,0,0,566,1056,313,33.5,15
BG,1,2,0,1,0,0,0,0,0,0,0,0,566,1056,313,33.5,15
BROTEC,0,0,0,0,0,0,2,0,0,0,0,3,566,1056,313,33.5,15
BSC,1,1,0,1,0,0,0,0,0,0,0,0,566,1056,313,33.5,15
CARGEY,0,0,0,0,0,0,0,0,0,1,0,0,566,1056,313,33.5,15
CLAPER,0,0,0,0,0,0,0,0,0,0,0,1,566,1056,313,33.5,15
CREACU,0,0,0,0,2,2,0,0,0,0,0,0,566,1056,313,33.5,15
DODPUL,0,0,0,0,0,0,0,0,1,0,0,0,566,1056,313,33.5,15
ERIHER,0,0,0,1,0,0,0,0,0,0,0,0,566,1056,313,33.5,15
FESIDA,0,1,0,0,0,0,0,0,0,0,0,0,566,1056,313,33.5,15
FRAVIR,0,0,0,0,0,0,0,0,1,0,0,0,566,1056,313,33.5,15
GALAPA,0,0,0,0,0,0,0,1,3,2,1,2,566,1056,313,33.5,15
GERVIS,0,0,0,0,0,0,0,0,0,0,1,3,566,1056,313,33.5,15
GEUMAC,0,0,0,0,0,0,0,0,2,2,0,0,566,1056,313,33.5,15
GEUTRI,4,4,0,0,0,0,0,0,1,0,0,0,566,1056,313,33.5,15
HIESCO,0,2,0,0,0,0,0,0,0,0,0,1,566,1056,313,33.5,15
HYDCAP,0,0,0,0,0,0,0,1,1,0,0,0,566,1056,313,33.5,15
LITGLA,1,1,0,1,1,1,2,0,0,0,0,1,566,1056,313,33.5,15
LOMDIS,0,0,0,0,0,0,0,0,0,0,0,1,566,1056,313,33.5,15
LT,5,4,6,5,6,6,6,6,6,6,6,6,566,1056,313,33.5,15
MADGRA,0,0,0,0,0,1,1,0,0,0,1,0,566,1056,313,33.5,15
NF,4,5,5,2,2,2,3,5,4,6,2,4,566,1056,313,33.5,15
NGRS,3,4,2,0,0,0,0,1,5,1,1,1,566,1056,313,33.5,15
NNF,1,1,2,2,5,3,3,0,0,0,0,0,566,1056,313,33.5,15
NNGRS,4,3,3,4,4,4,4,0,1,0,0,3,566,1056,313,33.5,15
OLSDOU,0,0,0,0,1,0,0,0,0,0,1,0,566,1056,313,33.5,15
PELRUF,0,0,0,1,0,0,0,0,0,0,0,0,566,1056,313,33.5,15
PINPON,0,0,0,0,0,0,1,6,6,2,0,0,566,1056,313,33.5,15
POA,0,0,0,0,0,0,0,0,5,0,1,1,566,1056,313,33.5,15
POABUL,0,0,0,0,0,0,2,0,1,0,0,0,566,1056,313,33.5,15
POLDOU,0,0,0,0,0,0,0,1,0,0,0,0,566,1056,313,33.5,15
POTGRA,0,0,5,0,0,0,0,0,0,0,0,0,566,1056,313,33.5,15
PRUVIR,0,0,0,0,0,0,2,0,0,3,0,1,566,1056,313,33.5,15
PSESPI,3,4,2,0,0,0,0,1,0,0,1,0,566,1056,313,33.5,15
SENINT,0,0,1,1,0,0,0,0,1,0,0,0,566,1056,313,33.5,15
SHRB,0,0,0,0,0,0,2,6,6,4,5,1,566,1056,313,33.5,15
SYMALB,0,0,0,0,0,0,0,0,0,0,5,0,566,1056,313,33.5,15
SYNRUR,1,1,0,1,0,0,0,0,0,0,0,0,566,1056,313,33.5,15
VALLOC,1,1,2,2,4,3,3,0,0,0,0,0,566,1056,313,33.5,15
VENDUB,4,3,3,4,4,4,2,0,0,0,0,0,566,1056,313,33.5,15
ACHMIL,0,1,0,0,0,0,0,0,0,0,0,0,734,930,248,19.5,14
APOAND,0,0,0,0,1,0,3,3,2,4,3,3,734,930,248,19.5,14
BALSAG,0,1,0,6,0,0,0,0,1,0,0,0,734,930,248,19.5,14
BG,0,1,1,0,0,0,0,0,0,0,0,0,734,930,248,19.5,14
BROHOR,2,3,4,2,2,2,3,2,3,3,3,3,734,930,248,19.5,14
BROTEC,0,0,0,0,0,3,3,3,4,1,2,1,734,930,248,19.5,14
BSC,2,0,3,0,1,1,1,0,0,0,0,0,734,930,248,19.5,14
CLAPOC,1,0,0,0,0,1,0,0,0,0,0,0,734,930,248,19.5,14
DELNUT,1,1,0,0,0,2,0,0,0,0,0,0,734,930,248,19.5,14
EPIBRA,0,0,0,0,0,1,1,0,0,0,0,0,734,930,248,19.5,14
LITGLA,0,0,0,1,0,0,0,0,0,0,0,0,734,930,248,19.5,14
LOMMAC,0,0,0,0,1,1,1,0,0,1,0,0,734,930,248,19.5,14
LT,6,5,5,5,6,6,6,6,6,6,6,6,734,930,248,19.5,14
LUPSER,2,0,2,0,4,3,2,2,1,1,0,2,734,930,248,19.5,14
MADGRA,1,0,0,0,0,0,1,1,1,1,1,2,734,930,248,19.5,14
NF,2,1,2,6,5,4,4,3,3,4,3,4,734,930,248,19.5,14
NGRS,1,1,3,0,3,0,1,0,0,0,1,0,734,930,248,19.5,14
NNF,1,3,3,3,4,2,3,1,2,3,3,3,734,930,248,19.5,14
NNGRS,6,6,5,4,5,6,6,6,6,6,6,6,734,930,248,19.5,14
POASEC,0,0,0,0,0,0,1,0,0,0,0,0,734,930,248,19.5,14
PSESPI,1,1,3,0,3,0,0,0,0,0,1,0,734,930,248,19.5,14
RK,1,0,0,0,0,0,0,0,1,0,1,0,734,930,248,19.5,14
SYNRUR,2,0,3,0,1,1,1,0,0,0,0,0,734,930,248,19.5,14
TRADUB,0,0,0,0,0,0,0,0,0,1,0,0,734,930,248,19.5,14
VALLOC,1,3,3,3,4,2,3,1,2,2,3,3,734,930,248,19.5,14
VENDUB,6,6,4,4,5,4,4,5,4,5,6,5,734,930,248,19.5,14
ACHMIL,1,0,0,1,3,2,0,0,1,0,1,1,801,824,16,113,26
APEINT,0,0,0,0,0,0,0,0,0,2,0,0,801,824,16,113,26
ARNSOR,0,0,0,0,0,0,0,1,3,0,0,1,801,824,16,113,26
ARRELA,0,0,0,0,0,2,3,1,0,1,0,3,801,824,16,113,26
BESRUB,0,0,0,0,0,0,2,0,1,0,0,1,801,824,16,113,26
BG,0,2,0,3,1,1,2,3,2,5,1,4,801,824,16,113,26
BRAALB,0,0,0,0,1,0,3,1,0,0,1,0,801,824,16,113,26
BROTEC,0,0,0,0,0,0,0,0,0,1,0,0,801,824,16,113,26
BSC,0,1,0,0,1,0,3,1,0,0,1,0,801,824,16,113,26
CALELE,0,0,0,1,0,0,0,0,0,0,1,0,801,824,16,113,26
CARGEY,5,5,6,3,1,3,0,1,1,0,5,1,801,824,16,113,26
CERPUR,0,1,0,0,0,0,0,0,0,0,0,0,801,824,16,113,26
CLAPER,0,0,0,1,1,0,0,0,0,1,1,1,801,824,16,113,26
COLPAR,0,0,0,1,0,0,0,0,0,0,0,0,801,824,16,113,26
DRAVER,0,0,0,0,0,0,0,0,0,1,0,1,801,824,16,113,26
EPIBRA,0,1,0,0,1,0,0,1,0,2,0,1,801,824,16,113,26
FESIDA,3,0,0,2,3,5,3,4,2,3,1,2,801,824,16,113,26
FRAALB,0,0,0,1,0,0,2,0,0,0,0,0,801,824,16,113,26
FRAVIR,0,0,0,0,0,0,0,2,1,0,0,0,801,824,16,113,26
GALAPA,0,0,0,1,1,4,0,0,0,0,0,0,801,824,16,113,26
GALBOR,3,3,2,3,2,0,2,0,2,2,3,2,801,824,16,113,26
GERVIS,0,0,0,0,0,0,0,0,0,0,0,1,801,824,16,113,26
GEUTRI,4,0,0,0,0,0,0,0,0,0,0,0,801,824,16,113,26
LOMAMB,0,0,0,0,0,0,0,1,0,0,0,0,801,824,16,113,26
LOMDIS,0,0,0,0,4,0,0,0,0,0,0,0,801,824,16,113,26
LT,6,5,6,4,4,5,4,4,5,2,4,3,801,824,16,113,26
MICGRA,0,0,0,0,1,0,1,1,0,1,0,0,801,824,16,113,26
MYOARV,0,1,1,1,1,0,0,0,0,1,1,1,801,824,16,113,26
NF,5,4,2,3,5,4,4,3,4,3,5,3,801,824,16,113,26
NGRS,6,5,6,4,4,6,3,4,3,0,5,2,801,824,16,113,26
NNF,0,1,1,1,1,0,0,1,1,2,1,2,801,824,16,113,26
NNGRS,0,0,0,0,0,2,3,1,1,3,0,3,801,824,16,113,26
POAPRA,0,0,0,0,0,0,0,0,1,0,0,0,801,824,16,113,26
POTGRA,0,0,0,0,0,0,0,0,0,0,3,0,801,824,16,113,26
PSESPI,0,0,0,0,3,0,0,0,0,0,0,0,801,824,16,113,26
RK,0,0,0,0,0,0,0,0,0,0,0,0,801,824,16,113,26
ROSWOO,0,0,1,3,0,3,0,3,0,1,2,1,801,824,16,113,26
SENINT,2,2,0,0,0,2,0,0,1,0,0,0,801,824,16,113,26
SHRB,1,1,4,4,2,3,1,3,0,2,2,2,801,824,16,113,26
SYMALB,1,1,4,3,2,2,1,0,0,1,1,1,801,824,16,113,26
VIOLA,0,0,0,0,0,0,0,0,0,0,1,1,801,824,16,113,26
AMSINCKIA,0,0,0,0,0,0,1,0,0,0,0,0,828,761,120,80.75,18
ANTCAU,0,0,0,2,4,4,4,4,6,5,4,6,828,761,120,80.75,18
BG,0,0,0,0,0,0,1,0,0,2,2,0,828,761,120,80.75,18
BROMUS,0,0,2,5,3,5,4,3,3,0,5,3,828,761,120,80.75,18
BROTEC,3,5,1,1,1,2,0,3,0,4,0,4,828,761,120,80.75,18
CIRARV,0,0,0,0,0,0,0,3,1,2,0,3,828,761,120,80.75,18
CLAPER,0,0,0,0,0,0,0,0,1,1,2,0,828,761,120,80.75,18
DIPFUL,0,0,0,0,2,2,5,4,0,0,0,0,828,761,120,80.75,18
HERMAX,0,0,0,0,0,0,0,0,1,0,0,0,828,761,120,80.75,18
LACSER,4,4,3,2,3,0,1,0,1,0,0,0,828,761,120,80.75,18
LOMDIS,1,3,4,1,3,3,0,0,0,0,0,0,828,761,120,80.75,18
LT,6,6,6,6,6,6,6,6,6,5,5,6,828,761,120,80.75,18
